motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;estado_salud;pract_higie_dota;capaci_mani_higie_alim3;pers_mani_aliment;condi_equi_ut_sup_beb_alco;preven_cont_cruz;condi_almac;almac_comerc;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;proced_bebi_alco;ley_obl_beb_alco;veri_product_beb_alco;p_cumplimiento
SOLICITUD DEL I;82;23/10/2020;27/12/2020;1,57591E+14;CARRERA 14 N 7/32;ROSARIO;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;2;2;1;0;31,5;2;2;14;83
PROGRAMACION;83;24/10/2020;27/12/2020;1,57595E+12;CALLE 16 N 10/30;CENTRO;2;1;1;2;8;1;2;0;10,5;2;2;2;19;2;2;2;2;2;0;35;2;2;14;86.5
PROGRAMACION;84;23/10/2020;27/12/2020;1,57594E+12;CARRERA 14 N 16/120;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;1;2;2;0;32;2;2;14;85.5
PROGRAMACION;85;23/10/2020;27/12/2020;1,57595E+12;CARRERA 11 N 16/20;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;1;2;2;0;32;2;2;14;85.5
PROGRAMACION;86;30/10/2020;27/12/2020;1,57597E+11;DIAGONAL 59 N 69/52;EL DIAMANTE;2;1;2;1;7;1;2;0;10,5;2;2;2;19;2;2;1;2;1;0;28,5;2;2;14;79
PROGRAMACION;87;30/10/2020;27/12/2020;1,57593E+12;CALLE 16 N 10/26;CENTRO;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;1;2;1;0;28,5;2;2;14;80
SOLICITUD DEL I;88;29/10/2020;27/12/2020;1,57591E+14;CARRERA 20 A N 7A/05;VALDEZ TAVERA;2;2;2;1;8;1;2;0;10,5;2;2;2;19;1;2;1;2;2;0;28,5;2;2;14;80
PROGRAMACION;89;19/10/2020;27/12/2020;1,57595E+12;CALLE 11A N 11/27;CENTRO;2;2;2;2;10;1;2;0;10,5;2;2;2;19;2;2;1;2;2;0;32,5;2;2;14;86
PROGRAMACION;90;16/10/2020;27/12/2020;NO PRESENTA;CARRERA 31 N 11B/111;LIBERTADOR;2;2;2;1;8;1;2;0;10,5;2;2;1;15.5;2;2;2;2;2;0;35;2;2;14;83
PROGRAMACION;91;22/10/2020;27/12/2020;1,57592E+12;CALLE 11A N 16/26;20 DE JULIO;2;2;2;1;8;1;2;0;10,5;2;2;2;19;2;2;1;2;1;0;28,5;2;2;14;80
