motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;100;13/08/2020;7/10/2020;1575974327477;URBANA;CENTRO;2;1;1;1;5;1;2;9,5;2;2;1;2;16.5;1;2;1;1;17;1;2;1;2;0;1;19,5;67,5
PROGRAMACION;101;4/09/2020;7/10/2020;1575939711837;URBANA;LAGUITO;1;1;1;1;5;2;2;12;1;0;1;2;11;1;2;1;1;17;1;2;2;2;1;0;24;69
PROGRAMACION;102;10/09/2020;7/10/2020;157594168519;URBANA;CENTRO;2;1;1;1;6;1;2;9,5;1;2;1;1;11;1;2;2;2;22,5;1;2;1;2;1;0;22;71
PROGRAMACION;103;10/09/2020;7/10/2020;1575951775145;URBANA;CENTRO;1;1;1;1;5;2;2;12;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;1;0;22;68,5
PROGRAMACION;104;11/09/2020;7/10/2020;1575946368393;URBANA;CENTRO;2;1;1;2;8;2;1;8,5;1;2;2;2;16.5;1;2;1;2;19;2;2;2;2;2;1;32;84
PROGRAMACION;105;10/09/2020;8/10/2020;15759137410211;URBANA;EL ROSARIO;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;1;0;22;61,5
PROGRAMACION;106;10/09/2020;8/10/2020;157591057574295;URBANA;SAN RAFAEL;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;2;1;20,5;1;2;1;0;1;0;55;0
PROGRAMACION;107;10/08/2020;8/10/2020;1575946363742;URBANA;CENTRO;2;2;2;1;8;1;2;9,5;1;0;1;0;7;1;2;0;1;13,5;1;2;1;2;2;0;25,5;0
PROGRAMACION;108;18/09/2020;8/10/2020;157599529479;URBANA;CENTRO;2;2;1;1;7;2;2;12;1;0;1;0;7;1;2;1;2;19;1;2;2;2;1;0;24;0
PROGRAMACION;109;13/08/2020;8/10/2020;1575944947956;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;110;8/09/2020;8/10/2020;157591116041307;URBANA;20 DE JULIO;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;2;0;25,5;0
