motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;proce_req_legal;p_cumplimiento
PROGRAMACION;59;11/08/2020;20/08/2020;1,57595E+12;URBANA;UNIVERSITARIO;2;2;2;1;2;8,5;2;2;12;1;0;2;0;9;2;2;2;2;2;0;24;2;2;2;25;2;5;83,5
PROGRAMACION;60;13/08/2020;20/08/2020;1,57598E+12;URBANA;ASODEA;2;2;2;2;2;10;1;2;9;1;0;2;0;9;2;2;2;2;1;0;21;1;2;2;21;2;5;75
PROGRAMACION;61;14/08/2020;20/08/2020;1,576E+11;URBANA;SAN ANTONIO;2;1;1;2;2;8,5;2;2;12;1;0;2;0;9;2;2;2;2;2;0;24;1;2;2;21;2;5;79,5
PROGRAMACION;62;17/08/2020;28/08/2020;1,57591E+14;URBANA;LA PLAYITA;2;1;1;2;2;8,5;2;1;9;1;0;1;0;6;2;2;1;2;1;0;19,75;1;2;2;21;2;5;69,25
PROGRAMACION;63;19/08/2020;28/08/2020;1,576E+11;URBANA;CENTRO;1;1;1;1;1;5;1;2;9;2;2;1;2;17;1;2;1;2;1;0;17,25;1;2;2;21;2;5;74,25
PROGRAMACION;64;8/08/2020;30/08/2020;NO PRESENTA;URBANA;CENTRO;2;2;2;1;2;8,5;2;2;12;2;0;1;0;9;1;2;1;2;1;0;17,25;2;2;2;25;2;5;76,75
PROGRAMACION;65;10/08/2020;30/08/2020;1,57591E+14;URBANA;LAGUITO;2;2;2;1;1;7,5;1;1;6;2;0;2;2;17;2;2;2;2;1;0;21;1;2;2;21;2;5;77,5
PROGRAMACION;66;12/08/2020;30/08/2020;1,57591E+14;URBANA;LA CANDELARIA;2;2;1;1;2;7,75;2;2;12;2;2;1;0;12;1;2;1;2;2;0;20,25;2;2;2;25;2;5;82
PROGRAMACION;67;13/08/2020;30/08/2020;1,57595E+12;URBANA;SAN ANTONIO;2;2;2;1;2;8,5;2;2;12;2;2;2;2;20;1;2;2;2;2;0;21,5;1;2;2;21;2;5;88
PROGRAMACION;68;14/08/2020;30/08/2020;1,57595E+12;URBANA;SAN ANTONIO;2;2;2;2;2;10;2;2;12;2;0;2;0;12;1;2;2;2;2;0;21,5;2;2;2;25;2;5;85,5
PROGRAMACION;69;8/08/2020;30/08/2020;1,57597E+12;URBANA;CENTRO;2;2;2;1;2;8,5;1;2;9;1;0;1;0;6;1;2;1;2;1;0;17,25;1;2;2;21;2;5;66,75
PROGRAMACION;70;8/08/2020;30/08/2020;1,57596E+12;URBANA;SANTA HELENA;2;2;2;1;2;8,5;2;1;9;2;2;2;2;20;1;2;1;2;2;0;20,25;2;2;2;25;2;5;87,75
PROGRAMACION;71;5/08/2020;30/08/2020;1,57593E+12;URBANA;VANEGAS-LOMITAS;2;2;2;1;2;8,5;2;2;12;1;0;2;0;9;2;2;1;2;2;0;22,75;2;2;2;25;2;5;82,25
PROGRAMACION;72;6/08/2020;30/08/2020;1,57591E+14;URBANA;VANEGAS;2;2;2;1;2;8,5;2;2;12;1;0;2;0;9;2;2;1;2;1;0;19,75;2;2;2;25;2;5;79,25
PROGRAMACION;73;5/08/2020;30/08/2020;1,57591E+14;URBANA;PINARES DE SAN LUIS;2;1;1;2;2;8,5;2;2;12;1;0;2;2;14;1;2;2;2;2;0;21,5;2;2;2;25;2;5;86
PROGRAMACION;74;5/08/2020;30/08/2020;1,57594E+12;URBANA;CHAPINERO;2;1;1;2;2;8,5;2;2;12;2;2;2;2;20;2;2;1;2;1;1;21,75;2;2;2;25;2;5;92,95
PROGRAMACION;75;5/08/2020;30/08/2020;1,57595E+12;URBANA;LAS LOMAS;2;2;2;1;2;8,5;2;2;12;2;0;1;0;9;2;2;2;2;2;0;24;2;2;2;25;2;5;83,5
PROGRAMACION;76;7/08/2020;30/08/2020;1,57594E+12;URBANA;VENECIA;2;2;2;2;2;10;2;2;12;2;0;2;2;17;2;2;2;2;2;1;26;2;2;2;25;2;5;95
PROGRAMACION;77;18/08/2020;30/08/2020;1,57595E+12;URBANA;SAN ANDRESITO;2;1;2;1;2;7,75;2;1;9;1;0;1;0;6;2;2;1;2;1;0;19,75;2;2;2;25;2;5;72,5
PROGRAMACION;78;18/08/2020;30/08/2020;1,57595E+12;URBANA;MAGDALENA;2;1;2;2;2;9,25;2;1;9;1;0;2;0;9;2;2;2;2;1;0;21;2;2;2;25;2;5;78,25
SEGUIMIENTO;79;19/08/2020;30/08/2020;1,57592E+12;URBANA;LA CANDELARIA;2;2;2;2;2;10;1;2;9;2;2;1;2;14;2;2;2;2;2;1;26;2;2;2;25;2;5;92
PROGRAMACION;80;20/08/2020;30/08/2020;1,57591E+14;URBANA;EL CORTES;2;1;2;1;2;7,75;2;2;12;2;0;1;0;9;1;2;1;2;1;0;17,25;1;2;2;21;2;5;72
