motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;requi_legales;p_cumplimiento
PROGRAMACION;176;12/05/2020;1/06/2020;1,58E+12;URBANA;LA VILLITA;2;2;2;2;1;9;2;1;9;2;0;1;0;9;2;2;2;2;2;0;24;2;2;2;25;2;5;81
PROGRAMACION;177;12/05/2020;1/06/2020;1,58E+12;URBANA;LA VILLITA;2;2;2;2;1;9;2;1;9;2;1;2;1;16;2;2;2;2;1;0;21;2;2;2;25;2;5;85
PROGRAMACION;178;11/05/2020;1/06/2020;1,58E+12;URBANA;UNIVERSITARIO;2;2;2;1;2;8,5;2;2;12;2;1;2;1;16;2;2;2;2;2;1;26;2;2;2;25;2;5;92,5
PROGRAMACION;179;11/05/2020;1/06/2020;1,58E+12;URBANA;UNIVERSITARIO;2;2;2;2;2;10;2;2;12;2;2;2;2;20;2;2;2;2;2;0;24;2;2;2;25;2;5;96
PROGRAMACION;180;11/05/2020;1/06/2020;1,58E+12;URBANA;OLAYA HERRERA;2;0;1;0;1;3,75;1;2;9;2;0;2;0;12;2;2;1;2;1;0;19,75;1;0;2;13;2;5;62,5
PROGRAMACION;181;8/05/2020;1/06/2020;1,58E+12;URBANA;RECREO;2;2;2;2;2;10;2;1;9;2;0;1;1;11,5;2;2;2;2;2;0;24;1;2;2;21;2;5;80,5
PROGRAMACION;182;8/05/2020;1/06/2020;1,58E+12;URBANA;SANTA ANA;2;2;2;1;2;8,5;2;2;12;2;0;1;2;14;2;2;2;2;2;0;24;2;2;2;25;2;5;88,5
PROGRAMACION;183;8/05/2020;1/06/2020;5,76E+11;URBANA;LA LIBERIA;2;2;2;1;2;8,5;2;2;12;2;0;1;1;11,5;2;2;1;2;2;0;22,75;2;2;2;25;2;5;84,75
PROGRAMACION;184;7/05/2020;1/06/2020;1,58E+12;URBANA;SAN MARTIN CENTRO;2;1;1;1;2;7;2;1;9;2;0;1;0;9;2;2;1;2;2;0;22,75;2;2;2;25;2;5;77,75
PROGRAMACION;185;7/05/2020;1/06/2020;1,58E+14;URBANA;CENTRO;2;2;2;1;1;7,5;2;2;12;2;0;1;1;11,5;2;2;1;2;2;0;22,75;1;2;2;21;2;5;79,75
PROGRAMACION;186;7/05/2020;1/06/2020;1,58E+12;URBANA;20 DE JULIO;2;2;2;1;2;8,5;2;1;9;2;0;1;0;9;2;2;1;2;2;0;22,75;2;1;2;20,5;2;5;74,75
PROGRAMACION;187;5/05/2020;1/06/2020;1,58E+12;URBANA;LAGUITO;2;2;2;2;2;10;2;2;12;2;1;1;1;13;2;2;2;2;2;0;24;2;2;2;25;2;5;89
PROGRAMACION;188;5/05/2020;1/06/2020;1,58E+11;URBANA;LAGUITO;2;2;2;1;2;8,5;2;1;9;2;2;1;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;83,5
PROGRAMACION;189;16/05/2020;5/06/2020;1,58E+11;URBANA;SIMON BOLIVAR;2;1;2;2;2;9,25;2;2;12;2;1;1;2;15,5;2;2;2;2;2;0;24;2;2;2;25;2;5;90,75
PROGRAMACION;190;16/05/2020;5/06/2020;1,58E+12;URBANA;ARRAYANES;2;2;2;2;2;10;2;2;12;2;1;1;1;13;2;2;2;2;2;0;24;2;2;2;25;2;5;89
PROGRAMACION;191;16/05/2020;6/05/2020;1,58E+12;URBANA;SIMON BOLIVAR;2;2;2;1;2;8,5;2;2;12;2;1;1;0;10,5;2;2;2;2;2;0;24;2;2;2;25;2;5;85
PROGRAMACION;192;15/05/2020;5/06/2020;NO PRESENTA;URBANA;SANTA ANA;2;2;2;1;2;8,5;2;2;12;2;0;1;0;9;2;2;2;2;2;0;24;2;2;2;25;2;5;83,5
PROGRAMACION;193;15/05/2020;5/06/2020;NO PRESENTA;URBANA;CENTRO;2;2;2;2;2;10;2;2;12;2;0;1;0;9;2;2;2;2;2;0;24;2;1;2;20,5;2;5;80,5
PROGRAMACION;194;13/05/2020;5/06/2020;1,58E+11;URBANA;SANTA ANA;2;2;2;1;2;8,5;2;2;12;2;0;1;2;14;2;2;2;2;2;2;28;2;2;2;25;2;5;92,5
PROGRAMACION;195;14/05/2020;5/06/2020;1,58E+14;URBANA;CENTRO;2;1;2;1;2;6,25;2;2;12;2;0;1;1;11,5;2;2;1;2;2;0;22,75;2;2;2;25;2;5;82,5
PROGRAMACION;196;14/05/2020;5/06/2020;1,58E+12;URBANA;CENTRO;2;2;2;1;2;8,5;2;2;12;2;0;2;2;17;2;2;2;2;2;0;24;2;2;2;25;2;5;91,5
