motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;46;20/06/2020;2/07/2020;1,58E+12;URBANA;UNIVERSITARIO;2;2;2;1;8;1;1;6;2;0;1;0;10,5;1;2;1;1;17;1;2;1;2;1;0;22;63,5
PROGRAMACION;47;19/06/2020;2/07/2020;1,58E+15;URBANA;RECREO;2;2;1;1;7;1;1;6;2;2;1;2;16,5;1;2;1;1;17;1;2;2;2;1;0;24;70,5
PROGRAMACION;48;16/06/2020;5/07/2020;1,58E+11;URBANA;EL LAGUITO;2;1;1;1;6;1;2;9,5;2;2;2;2;20;1;2;2;1;20,5;2;2;2;2;1;0;27,5;83,5
PROGRAMACION;49;16/06/2020;5/07/2020;1,58E+14;URBANA;CENTRO;1;1;2;1;6;2;2;12;2;1;1;2;15,5;2;2;2;2;25;1;2;2;2;2;1;28,5;87
PROGRAMACION;50;16/06/2020;5/07/2020;1,58E+12;URBANA;LAGUITO;1;2;2;2;9;2;2;12;2;2;2;1;18;2;2;2;2;25;1;2;2;2;2;1;28,5;92,5
PROGRAMACION;51;4/04/2020;11/05/2020;NO PRESENTA;URBANA;MANANTIAL;2;2;2;2;10;2;2;12;0;0;1;0;3,5;1;2;2;0;22,5;1;2;2;2;2;0;27,5;75,5
PROGRAMACION;52;10/07/2020;29/07/2020;1,58E+14;URBANA;LA SIERRA;2;1;1;1;6;1;1;6;2;0;2;0;14;1;2;1;1;17;1;2;2;2;1;0;24;67
PROGRAMACION;53;8/07/2020;29/07/2020;1,58E+14;URBANA;EL BOSQUE;1;2;2;1;7;2;1;8,5;2;2;2;0;16;1;2;1;2;19;1;2;2;2;2;0;27,5;78
PROGRAMACION;54;7/07/2020;29/07/2020;1,58E+13;URBANA;EL LAGUITO;2;2;2;2;10;2;2;12;2;2;1;2;16,5;1;2;1;2;19;2;2;2;2;2;0;31;88,5
PROGRAMACION;55;10/07/2020;29/07/2020;1,58E+12;URBANA;CENTRO;2;2;1;2;9;1;1;6;2;2;1;2;16,5;1;2;1;2;19;1;1;2;2;1;0;22;72,5
PROGRAMACION;56;10/07/2020;29/07/2020;1,58E+12;URBANA;CENTRO;2;2;2;1;8;1;2;9,5;2;2;1;1;14,5;2;2;1;1;19,5;1;1;2;2;1;0;22;73,5
PROGRAMACION;57;17/07/2020;29/07/2020;1,58E+13;URBANA;NO PRESENTA;1;2;2;2;9;2;2;12;2;1;2;2;19;2;2;1;2;21,5;2;2;1;2;1;1;26,5;88
PROGRAMACION;58;14/07/2020;30/07/2020;1,58E+12;URBANA;CENTRO;2;1;2;2;9;1;2;9,5;2;2;1;2;16,5;2;2;1;2;21,5;1;2;1;2;1;1;23;79,5
PROGRAMACION;59;16/07/2020;30/07/2020;1,58E+12;URBANA;CENTRO;2;1;1;1;6;1;1;6;2;1;1;1;13,5;1;2;1;2;19;1;2;1;2;1;0;22;66,5
PROGRAMACION;60;16/07/2020;30/07/2020;1,58E+14;URBANA;CHINCA;2;2;1;1;7;2;1;8,5;2;0;1;0;10,5;1;2;2;1;20,5;1;2;1;2;2;0;25,5;72
PROGRAMACION;61;14/07/2020;30/07/2020;NO PRESENTA;URBANA;OLAYA HERRERA;1;1;1;1;5;1;2;9,5;2;0;1;1;12,5;1;2;2;1;20,5;1;2;1;2;1;0;22;69,5
PROGRAMACION;62;16/07/2020;30/07/2020;1,58E+12;URBANA;SUGAMUXI;1;1;1;1;5;1;2;9,5;2;1;1;2;15,5;1;2;1;1;17;1;2;2;2;1;0;24;71
PROGRAMACION;63;17/07/2020;30/07/2020;1,58E+12;URBANA;RAFAEL URIBE;1;1;1;1;5;1;2;9,5;2;1;1;1;13,5;1;2;2;1;20,5;1;2;2;2;1;0;24;72,5
PROGRAMACION;64;14/07/2020;30/07/2020;NO PRESENTA;URBANA;OLAYA HERRERA;1;2;2;1;7;2;2;12;2;0;1;2;14,5;1;2;1;1;17;1;2;1;2;1;0;22;72,5
